Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10
47.25684157,26.20082456,40.10659868,34.39348227,34.22680362,18.7178856,18.2578714,92.3544575,63.68861062,62.44598155
28.5705544,26.72809457,61.26416896,21.78763907,16.43148144,17.82444432,24.40560248,73.88499986,52.66529592,76.51392485
38.87945024,29.25354529,13.42309154,14.43245469,55.84025972,23.94005419,6.895175099,39.49170795,55.30056227,78.07385014
33.10596083,39.93381519,30.39232718,19.85737717,77.11721239,21.42721621,17.75413678,87.47080166,61.67973727,84.49135613
37.95504504,26.62265283,35.55119471,16.29576206,57.44808812,32.43389764,22.57337786,60.6083132,61.12152995,78.54636457
17.61128716,28.52085466,46.28567932,16.20232083,20.62000742,25.23415102,0.427339524,96.73204052,77.51507122,98.68726457
25.82773516,19.73800798,10.52842945,52.47708278,63.52564807,17.23140183,18.37495817,81.14382389,76.74423516,74.81296148
34.40098212,33.00285547,68.88081954,50.51566072,62.3158429,30.6749171,6.83768346,89.26659206,55.69276889,79.37601451
47.41969945,22.11275603,59.00262854,26.99682994,26.67209471,25.64684124,12.96046561,88.76012784,53.41629446,78.97089386
38.61091454,25.46705239,79.76873598,11.90888232,73.02890036,27.81991792,43.79378853,93.80736329,29.31534475,77.17371616
40.02276733,35.21167684,65.93321703,11.55953999,78.86732535,27.72813911,9.871869482,66.44190755,53.41295504,81.42425585
45.50578169,19.47535785,65.45568997,21.60592111,42.418936,26.18622627,16.50330186,73.00472798,48.26330753,85.41231297
32.96370926,30.47960206,83.76014047,5.182237466,36.61348817,27.09337052,0.626308995,86.74054,55.7421065,93.40098704
42.26901859,34.00464823,41.4356287,21.61677639,55.22716263,25.95504269,9.231374914,30.14811628,64.69901091,64.30743873
33.55706786,37.62722118,27.44812401,23.15202461,83.07620343,20.57445638,25.52192015,84.7389969,62.12630795,74.89657126
26.17864405,25.39953446,46.51463905,2.272824365,65.74741834,26.46692879,9.464315896,82.27348792,59.64038392,75.52228575
36.87280165,26.87987575,37.62511919,6.000381745,70.30437867,29.09562202,5.760420506,87.1954048,62.39498533,89.37850297
44.5904469,39.02218162,46.14731958,10.01788203,68.80084304,24.15977435,8.585355711,80.15469426,58.48658672,76.43336939
42.70871241,29.87469928,34.24671515,7.89437635,81.98957701,27.20520887,77.18429869,55.47724297,62.36422719,61.04824407
39.90535604,26.31868033,58.51820101,25.26095664,72.13345398,26.67835658,2.270058995,82.54743096,21.2273399,80.87730464
59.13892213,26.41257081,57.69474274,28.69118302,33.78199667,32.26260826,15.56059082,78.74015238,56.76847812,79.66310768
43.30329728,25.13721838,49.59616114,40.77669007,31.19107364,23.9889988,1.504020363,52.31925724,58.66979135,81.79751566
47.82988805,27.80163897,54.67372255,7.720097738,31.94634513,23.83198335,19.34040421,87.59571269,55.90485941,69.59837119
57.90514671,35.44110238,47.86923909,4.207508034,29.90544352,24.53227304,3.946648316,75.39093865,57.38464485,97.19034681
29.64731741,34.43883034,61.28050502,40.47346308,29.57843857,24.5904357,25.13384202,81.84621974,68.43972141,76.76140216
31.68969432,24.12864849,51.04461124,32.9710098,80.41516644,15.90952916,7.676633417,46.59445135,52.82273602,78.11703142
53.9496978,31.07293037,46.01831563,22.58202336,81.61637105,22.42956063,29.35350543,90.99390391,86.40842519,70.9999143
33.61549812,27.98920132,63.94376705,9.76199261,21.28980831,26.19954027,10.66004624,63.9681882,68.25956316,70.68997996
40.23746584,33.91220202,68.91231904,22.01801913,19.48520447,24.96697394,0.104430024,54.25329543,59.92431299,67.7726304
48.55452776,29.21820136,70.06180738,8.897346251,74.99212244,21.80264338,8.73520346,87.16660666,57.52005236,76.06689148
47.12565113,31.85762341,35.14587966,31.86815974,54.4619304,22.34088299,2.136072621,63.29704264,58.96173256,70.42418161
54.03908946,29.20697397,41.98329188,20.94556572,29.8096423,23.57754749,17.08188328,84.27753292,49.01631516,100.5646734
51.9651531,19.06457035,24.47755858,6.405697344,47.32716801,21.79371288,8.52320615,96.69169129,58.85756953,61.1150762
48.55514136,30.23501223,46.42152473,15.54186545,20.16224093,22.94779756,25.54071653,90.87620526,63.3442022,68.71669452
33.81833029,23.64126525,56.24185722,6.34084196,83.75516784,22.84243952,17.32547709,69.82642713,66.95449939,75.98585572
46.35890134,33.73564206,48.00798238,15.70289557,24.79660024,28.58148339,0.917762826,66.84627254,66.95627735,86.73491278
42.51417596,26.60086054,78.96276301,25.90387265,71.45873345,29.06556507,9.591388159,50.71592473,56.70146944,75.86243119
29.38987632,26.97493672,43.91234937,14.72744184,82.0725873,28.73434038,16.78753822,95.86694873,43.00701297,86.75963393
51.33839237,29.95548587,33.67237167,2.904528412,64.77077789,26.7068072,21.22771161,83.8697847,51.97076849,70.13196111
46.45789228,32.88896977,58.5275631,7.078123643,21.1985682,22.16671006,2.769694134,54.05428594,79.34631651,80.59291134
40.36392065,29.15128091,52.24900743,8.185271199,56.29894863,28.8393218,26.24350251,51.86486413,70.75269976,97.44041087
38.13526351,38.21091386,58.24463894,7.943614931,24.04515499,23.74299765,10.52834348,96.90892864,64.43543504,70.32255604
30.41359084,38.24408931,54.55681896,35.20904021,75.68650229,25.09220883,5.050496333,90.96605987,50.86446906,84.19567676
41.59619259,38.57734296,53.65648641,31.51033836,62.09784493,30.35288213,40.91081125,90.80925724,60.04374186,82.06927519
43.74751296,28.82840638,18.16551675,23.21373763,80.94393043,25.33597142,1.777288953,93.89219418,44.93197577,57.48465014
33.35076013,22.59020772,39.10828959,19.96106226,25.21200998,25.98913612,66.39944051,79.01717309,53.37675749,74.11029454
49.29763239,36.10039257,41.14512623,18.7672901,46.75790506,19.34888206,30.62703071,79.38482807,57.0575599,91.31151905
31.22237563,27.91827357,44.78053493,12.08807029,53.04941868,26.94803718,16.13708509,95.33452173,55.66032082,81.35077672
23.0151972,30.19083156,43.27412542,20.1227008,22.58366211,21.07997341,0.280590872,75.08650137,71.47922317,67.87731037
48.31781673,33.14160051,56.19228143,6.257939655,62.38339844,79.04775863,12.36254427,86.9846435,42.97528903,86.90777273
36.7730717,21.977818,59.01323763,10.3974252,54.65049304,74.26160329,25.94722687,85.99138061,49.61481274,75.20877055
38.99176332,38.14560603,33.0253861,45.70120358,39.36294412,66.05532463,48.95948131,56.9257845,43.50374435,83.60050728
33.29986622,34.37481165,60.3020661,19.00039601,43.90421678,73.56791959,24.04292612,89.94665913,45.15176145,83.76920114
27.15229791,31.76135791,58.78652208,3.393798259,70.73602423,74.08786185,12.67529851,87.05249659,61.48867076,68.81304399
50.041899,34.45458375,56.98655099,36.26412032,39.9489256,76.9419009,14.82618436,71.76704531,40.7947136,87.89828035
34.48904813,32.7847627,28.73158268,21.25171516,83.08432016,77.68204956,51.64740772,97.0068823,69.04642535,69.92491199
53.28761991,30.58414058,56.6087345,20.38624693,79.27292435,73.68894302,10.8218317,90.49175952,57.03821068,66.94214134
46.45846549,28.46112839,51.23893129,4.355938468,20.46602818,79.05147278,1.684432964,75.68640597,60.82545999,71.17171012
37.48193483,26.30428863,64.41320113,29.72625481,74.66917785,62.33177869,14.61505856,73.84468219,63.87092086,76.53909966
31.31278079,31.4360714,76.76535193,23.89606708,62.16452541,72.14404401,161.8851374,92.62217496,54.79000176,81.09403156
34.14030411,31.8060153,73.82101828,7.20222819,18.87236479,70.55054292,11.94173794,67.86862221,72.38975659,72.27416268
30.29981495,35.41599401,51.68966258,3.458443767,81.87562958,69.98326596,5.36248539,97.71011062,57.66788728,87.44819312
56.69690688,31.00330004,49.97187962,18.09786176,73.34408863,78.83882549,1.154505412,95.38651983,67.12884306,82.51464184
41.31552984,25.73399242,59.47922426,33.48292745,73.28787743,78.3166816,4.687439712,64.9152696,57.61065141,73.05201785
49.20164434,22.11883576,33.2744007,40.34959885,79.09514945,71.89691992,9.791437005,72.71296487,63.49049265,88.88992918
29.86118361,29.36218919,28.23975288,35.97639055,79.47590107,79.71222802,21.3492379,93.82159472,63.35595204,91.61068358
41.44828104,29.86270812,42.91204112,7.482714603,30.3355672,75.40586757,27.38456891,83.07430616,62.99963927,79.01315303
49.42289551,29.50954209,68.30853371,14.66802231,80.61538267,73.3132636,1.094067338,63.25127409,48.3083058,77.85016955
37.3199139,22.34743551,45.03307553,12.36549479,18.35510906,72.22830881,68.79225688,50.74398796,65.23050925,62.26228647
48.24891567,35.3723257,72.53871359,48.53588204,76.70026138,71.88691309,6.71785578,86.70657781,56.17251613,75.92487408
31.3234567,35.36314873,8.178306754,6.343460484,46.96987657,76.89109943,4.035400438,81.89560833,67.56585637,77.08493287
29.09222764,25.88357418,26.1919036,18.22050505,73.18174239,77.6006196,18.91972242,81.57753071,34.17007867,82.45379407
43.0352049,34.02991056,48.14466901,24.49601484,34.1128909,75.95400485,28.29795709,94.25046383,42.41860534,78.31573568
36.96658852,34.76415431,63.32291812,14.23166461,67.84041365,66.79912929,9.177253044,85.47405564,64.36134675,82.44026938
45.13643751,30.19223538,48.95565352,26.55976626,71.32899341,76.18543462,27.6742695,97.02273461,82.35513102,95.34090289
24.17689655,25.25750687,48.56520883,18.51941727,20.66561601,77.26158626,8.713908763,91.76610141,70.02070496,74.70085901
45.69811708,38.06690768,48.17387757,39.02685161,79.00901225,72.32317758,58.11348849,81.5784687,51.81058879,75.09027717
60.78643142,31.90460717,23.55653398,24.88680758,72.20754182,75.17300217,53.15174592,86.08644575,39.69537102,66.90834686
39.80299215,28.74481272,67.37103312,1.443430555,56.68234209,67.5444628,1.846394857,96.76479677,68.91223465,79.91339533
40.27313703,33.86422698,39.7585292,11.24943561,64.555058,70.08012375,4.074814871,66.54909525,59.03300134,89.76812982
41.43639588,38.11104244,66.34298986,19.88604095,39.20741983,73.70305861,29.93806514,87.63193075,67.08845061,62.48929651
25.10419431,27.51419927,48.94214873,9.78036377,47.93922539,73.76099542,0.003002718,42.92108169,61.38358467,73.34143033
43.40917312,33.45711273,66.02240581,24.28642506,25.31539838,76.40671749,43.12312925,55.37561909,60.3557151,80.35940503
27.15672205,39.71580085,55.14886971,8.215343458,49.99351001,70.25229845,11.01072505,66.0772696,95.50350535,88.50102884
36.57856322,24.41717583,48.39988264,3.093494592,69.79749423,73.63517574,34.12505587,88.03673733,59.92644047,83.82870239
49.9429564,27.25373206,53.39392471,12.37321675,54.08774929,73.04088088,1.131138026,88.68876574,58.08905749,83.25463628
34.11826435,27.0107246,27.90533586,24.31505181,24.34390772,77.1120419,5.869791617,61.37856953,58.5426159,77.75687214
44.00999192,29.20836431,50.09043991,38.6379555,73.06863943,80.68417107,1.835921309,64.20642898,52.9975594,84.81874257
48.10191243,28.95013132,75.74060483,20.24126418,66.65907373,81.88368128,4.955901945,93.55938873,71.88159474,90.14303884
42.22992685,31.5039772,69.62290346,12.19217183,17.61484828,68.72623981,12.1298092,90.8505235,55.75494799,62.91008223
29.03241224,25.8981224,35.22464626,36.88969738,71.34171768,74.80794323,16.90979896,51.89350547,67.63131247,87.28535401
37.3401978,26.88668256,57.58528777,9.983546225,75.56711397,70.54988276,61.95066732,63.59105875,63.41523636,79.01240194
55.67529074,31.50645242,53.71969827,12.59725813,50.86656944,74.74102019,24.66608774,89.45816176,74.62783035,74.70011136
23.7996339,30.7745593,62.2578242,60.14161994,41.50156686,76.69167712,30.64522163,65.44890943,65.04215516,55.56924214
37.79371189,34.37039905,51.41229328,15.81032187,20.84353643,75.32596359,2.141961461,89.62339908,45.43938263,66.19648676
35.58313543,32.04677512,46.4974401,29.30387298,72.97931848,74.8039532,8.449382226,78.49897074,44.08214658,96.98058992
40.9659789,33.85923318,69.95946165,20.69483218,15.25612048,80.9321567,119.8838027,57.13839089,76.90042975,73.11451468
45.98572494,24.2852398,53.24594852,3.6267871,39.04406871,77.88395757,20.54851974,60.0507299,52.69547036,69.15231229
52.86952774,28.08291844,68.83196483,25.24006242,37.94146446,73.90938215,38.75770529,94.35658866,44.15276904,75.43574044
37.83814086,39.24189975,64.61579305,39.96533675,78.84086299,75.09684544,0.825543281,86.19461466,51.9645768,72.54852778
46.49873064,31.96039023,45.13269138,15.80286188,46.45037475,78.48359123,2.195553024,83.01742514,75.17550344,81.24358633
43.99792116,33.73696481,47.49499588,14.81447805,77.20602769,77.43916202,2.891815301,88.02339977,42.95744401,95.16973678
43.79477838,31.36367369,78.94748651,21.68322349,21.25066643,73.29969559,0.385096931,68.65829334,49.60205755,74.13384049
35.48860855,32.12667928,52.87223488,13.90894412,74.22551722,67.89902864,63.7694214,77.63145498,51.99830989,81.54290051
32.02142825,28.84547974,38.62057365,6.837125305,57.86648482,70.26137003,7.313522643,94.98395669,44.98572152,68.52762859
31.1996551,47.85789609,31.99935083,8.177507641,52.65433574,75.5839169,141.8735434,80.60242186,45.78807194,95.20166442
33.94850232,28.01922039,64.61198653,9.563298221,36.41690808,67.85389259,33.49766277,97.45282517,41.7827043,81.89043442
42.57349261,29.80839391,52.40440582,5.884056316,49.3258494,74.39042201,7.212419777,89.55683501,54.46575104,69.18180877
46.08759515,17.87581837,38.11862074,9.52591711,34.1418137,73.1857233,120.1046653,67.66261714,55.74109402,89.0430622
42.58775078,35.53133329,60.11877247,17.55024886,46.90725698,78.99701121,50.7251483,98.99126246,51.80954215,91.99987649
35.60835923,27.23873525,52.39623043,6.247428886,68.81718593,69.72782471,4.508029135,67.20785615,40.15562593,81.61456363
54.44776088,29.69602947,25.09287394,11.4560716,58.78433365,67.27292408,5.124055673,89.4644343,75.04003136,63.60603032
52.15092499,27.35979725,58.83028332,8.355705131,62.63741125,73.32143703,28.50040361,81.30642931,44.05105405,97.85168814
37.1679991,29.30658527,69.99786054,8.352576181,77.45517323,77.53905253,2.037851391,82.42119109,63.33640454,83.10122521
33.41254875,28.57876451,88.39775346,10.70059636,18.70575434,79.2796744,21.95831259,92.17818424,47.10280088,91.70454297
41.04171963,29.78479112,50.52353846,20.34195249,28.92601263,71.36269193,1.72311447,73.57763417,68.0198024,74.49106795
50.13838916,29.73599259,53.48974487,9.042979677,65.69357583,76.88105499,6.25315856,85.24802986,71.46998826,76.01376075
42.66211982,29.22897344,74.09895208,29.29744565,43.57649973,70.55427821,74.12520489,95.04219852,49.46863696,81.10453109
44.45238964,29.16061387,52.530834,22.05563499,60.51492724,72.00469014,17.2573632,46.70556271,36.91541124,91.13401678
38.30335902,36.54259226,54.13012795,28.22513312,77.84355785,77.2703789,21.31605948,90.21278749,68.34944783,81.42990028
43.65016716,34.4070846,40.54072413,7.919739718,66.52023986,77.87260217,7.856924325,90.44288489,82.50960656,67.43166187
52.35635561,34.43721159,29.08437331,24.77696812,80.31820917,71.002477,14.49821455,55.21211993,64.98833448,82.61989197
38.08264975,26.33775559,63.69031904,9.01270519,25.63591234,76.89959329,3.567976934,85.32423266,61.92653306,96.29534195
41.14646186,36.28410416,30.89644645,29.99360405,67.96405079,67.52600075,18.1736138,76.19541434,69.83712732,80.65806282
